id;Titulo;Barrio;Distrito;C.Postal;Direccion;Latitud;Longitud;Descripcion
16;Museo Félix Cañada;RiosRosas;Chamberi;28003;CALLE ALENZA 1;40.442581673356834;-3.700796192332983;Una selección de más de quinientas obras de arte de entre las cerca de mil de la donación original, constituyen la Colección Permanente que se puede visitar en las salas del Museo Félix Cañada de la Fundación Gómez Pardo, adscrita a la Escuela Técnica Superior de Ingenieros de Minas y Energía de la Universidad Politécnica de Madrid. Donada por el ingeniero de minas Doctor Félix Cañada Guerrero a la Fundación Gómez Pardo, reúne una amplia representación de trabajos de destacados artistas, pintores, escultores, ilustradores, grabadores, orfebres, ceramistas, etc. abarcando diferentes periodos desde el siglo XI hasta nuestros días.
17;Museo Geominero;RiosRosas;Chamberi;28003;CALLE RIOS ROSAS 23;40.442047952073665;-3.699670468881422;Los objetivos del Museo Geominero son conservar, investigar y difundir la riqueza y diversidad del patrimonio geológico, paleontológico y mineralógico a través de las importantes colecciones de minerales, rocas y fósiles procedentes de todas las regiones españolas y de antiguos territorios coloniales, así como de yacimientos significados del registro mundialMetro: Ríos Rosas (línea 1) y Alonso Cano (línea 7).Bus: 45, 12, 149, 3, 37, 5.Bicimad: Estación 130 (calle Santa Engracia, 127).
18;Museo Histórico Minero Don Felipe de Borbón y Grecia;RiosRosas;Chamberi;28003;CALLE RIOS ROSAS 21;40.44207963042673;-3.7003900716027776;Ubicado en la Escuela Técnica Superior de Ingenieros de Minas de MadridMetro: Ríos Rosas (línea 1)Bus: 3, 12, 37, 45, 149Bicimad: Estación 130 (calle Santa Engracia, 127)
19;Museo ICO;Cortes;Centro;28014;CALLE ZORRILLA 3;40.41675330128869;-3.6977346235068373;Metro: Banco de España (línea 2) , Sevilla (línea 2).Bus: 53, 15, 20, 3, 51, M1, 150, 5, 46, 52.BICIMAD: estación 29 (calle Marqués de Cubas, 25).
20;Museo Los Caños del Peral. Estación de Metro Ópera;Palacio;Centro;28013;PLAZA ISABEL II 1;40.41775560280743;-3.709202070089538;La estación de Ópera cuenta con el mayor museo arqueológico bajo tierra de Madrid, un espacio de 200 m2 donde se pueden ver restos arqueológicos de los siglos XVI y XVII pertenecientes a la Fuente de los Caños del Peral, el Acueducto de Amaniel y la Alcantarilla del Arenal.Metro: Ópera (líneas 2, 5 y Ramal).Bus: 25Bicimad: Estación 24 (calle Carlos III, 1)
21;Museo Lázaro Galdiano;Castellana;Salamanca;28006;CALLE SERRANO 122;40.436750328725985;-3.6861980129207894;Metro: Gregorio Marañón (línea 7 y 10)Bus: 12, 16, 9, 19, 51, 61
22;Museo Nacional Centro de Arte Reina Sofía (MNCARS);Embajadores;Centro;28012;CALLE SANTA ISABEL 52;40.40854131574014;-3.6940316511856017;Edificio Sabatini: calle Santa Isabel 52. Edificio Nouvel (ampliación): ronda de Atocha, esquina a plaza del Emperador Carlos V. Espacios en el parque del Retiro: Palacio de Velázquez y Palacio de Cristal.Metro: Estación del Arte (Atocha) (línea 1)Bus: 6, 26, 32, E1, 27, 34, C1, 59, 85, C2, 10, 14, 37, 45, 36, 41, 119Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C5, C7, C8, C10)Bicimad: Estación 50 (calle Santa Isabel, 57)Estación 51 (Ronda de Atocha, 2)
23;Museo Nacional Thyssen-Bornemisza;Cortes;Centro;28014;PASEO PRADO 8;40.41600553697803;-3.694744831131079;El Palacio donde se ubica la colección fue el antiguo palacio del duque de Villahermosa. Edificación neoclásica. Posteriormente se adapta como entidad bancaria perdiento sus espacios interiores. Más tarde, pasó a formar parte de los edificios del Museo del Prado. Desde principios de los 90 alberga la Colección Thyssen. El museo ofrece un recorrido por la historia de la pintura europea desde sus inicios en el siglo XIII, hasta finales del siglo XX.Arquitecto: Antonio López Aguado (1805 - 1806)Adecuación: Rafael Moneo (1989 - 1992)Ampliación: BOPBAA (1999 - 2004)Metro: Banco de España (línea 2)Bus: 10, 14, 27, 34, 37, 45Cercanías Renfe: RecoletosBicimad:Estación 27 (calle Jesús, 1)Estación 29 (calle Marqués de Cubas, 25)
24;Museo Nacional de Antropología;LosJeronimos;Retiro;28014;CALLE ALFONSO XII 68;40.407887537677716;-3.688862923660605;El Museo está instalado en el edificio de estilo clasicista construido por el Marqués de Cubas en 1875 por encargo del Doctor González Velasco, fundador de la institución.Metro: Estación del Arte (Atocha) (línea 1)Bus: 19,  C1, 10, 14, 26, 32, 102, 37, 86, C2, 203, 85, 141.Cercanías Renfe: Atocha (líneas C1, C2, C3, C4, C5, C7, C8, C10).Bicimad: Estación 80 a y b (paseo Infanta Isabel, 3).
25;Museo Nacional de Artes Decorativas;LosJeronimos;Retiro;28014;CALLE MONTALBAN 12;40.417891279015194;-3.689754685481908;Inaugurado en 1912, su sede es un típico palacete madrileño del último tercio del siglo XIX. El museo posee muebles, cerámicas, vidrios, joyas, tejidos, arte oriental, y hasta 30 000 objetos distintos que a lo largo de la historia han servido para embellecer las casas, palacios y los monumentos de distintas culturas.El museo posee muestras como el Jarrón de Sevres regalo de Napoleón III, la Cocina Valenciana del siglo XVIII compuesta por más de 1500 azulejos de Manises, la Mesa de plata del siglo XVI o la colección de alfombras españolas de los siglos XV al XVII.El Museo dispone de una rampa de acceso al edificio en la calle Montalbán. Para su uso, es necesario avisar con antelación al personal del Museo.El acceso a las diferentes plantas, puede realizarse mediante ascensor. Debido a las dimensiones del mismo, es necesario emplear en él las sillas de ruedas que el Museo pone a su disposición, previa solicitud.Metro: Retiro (línea 2).Bus: 19, 1, 146, 15, 2, 20, 51, 52, 74, 9, E1, 203, 14, 27, 37, 45.Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 Y C10).Bicimad: Estaciones 65 (calle Antonio Maura, 15) y 60 (plaza de la Independencia, 6).
26;Museo Nacional de Ciencias Naturales;ElViso;Chamartin;28006;CALLE JOSE GUTIERREZ ABASCAL 2;40.44042007613476;-3.690220716379925;Metro: Gregorio Marañón (líneas 7, 10).Bus: 12, 45, 14, 147, 150, 27, 40, 7.Bicimad: Estación 139 (Calle José Gutiérrez Abascal, 2).
27;Museo Naval;LosJeronimos;Retiro;28014;PASEO PRADO 5;40.41751289873052;-3.692768317427539;Temática: historia de la navegación españolaMetro: Banco de España (línea 2)Bus: 14, 27, 34, 37, 45, 202, 1, 2, 51, 146, 150Bicimad:Estación 65: Calle Antonio Maura, 15  Estación 86: Plaza de Cibeles
28;Museo Postal y Telegráfico;Valdemarin;Moncloa-Aravaca;28023;CALLE TAPIA DE CASARIEGO 6;40.467706026917405;-3.7690721403206724;El  Museo Postal y Telegráfico ofrece al visitante un recorrido temático y cronológico a través  de la historia de las comunicaciones, desde la más tradicional, la carta, hasta las comunicaciones por satélite. En este museo se conservan y exhiben los fondos postales y de telecomunicación desde los primeros hitos conocidos hasta nuestros días.Bus: 161.
29;Museo Sorolla;Almagro;Chamberi;28010;PASEO GENERAL MARTINEZ CAMPOS 37;40.43557863874977;-3.6923288211390055;Metro: Rubén Darío (línea 5), Gregorio Marañón (líneas 7, 10), Iglesia (línea 1)Bus: 5, 7, 16, 40, 61, 147
30;Museo Taurino de la Comunidad de Madrid;Guindalera;Salamanca;28028;CALLE ALCALA 237;40.43157110306013;-3.662872780933851;Su existencia data del día de San Isidro de 1951, creado por la extinta Diputación Provincial de Madrid. Sirve como testimonio de los momentos estelares del arte y la historia del toreo.La entrada se encuentra situada junto al patio de caballos de la Plaza de Toros Monumental de Las Ventas.Metro: Ventas (líneas 2, 5).Bus: 12, 21, 38, 53, 74, 106, 110, 146, 210.
31;Museo Tiflológico;CuatroCaminos;Tetuan;28020;CALLE LA CORUÑA 18;40.45519790204094;-3.7001960485997545;Edificio con una superficie de 1.500 m2 dividido en tres zonas con maquetas de monumentos nacionales e internacionales realizadas por invidentes e instrumentos utilizados por los invidentes desde hace 200 años. Es un espacio concebido para que sus visitantes puedan ver y tocar las piezas expuestas.Metro: Estrecho (línea 1)Bus: 3, 42, 64, 66, 124, 127
32;Museo de Aeronáutica y Astronáutica;CuatroVientos;Latina;28024;AUTOVIA A-5 10.700 Km. 10,5;40.3733013700739;-3.798200034372686;Emplazado en Cuatro Vientos desde 1966, tiene como objetivo narrar la historia y el desarrollo científico - técnico de la Aeronáutica y Astronáutica españolas. Ocupa una superficie de 66.938 metros cuadrados, repartidos en una zona de exposición exterior y siete hangares que albergan más de 140 aeronaves, así como uniformes, condecoraciones, motores, maquetas y otros fondos relacionados con la aviación.
33;Museo de América;CiudadUniversitaria;Moncloa-Aravaca;28040;AVENIDA REYES CATOLICOS 6;40.43792950973577;-3.72186494128936;Metro: Moncloa (líneas 3, 6), Islas Filipinas (línea 7).Autobús: 160, 161, A, 32, 133, 162, 46, 82, 83, G, U.Bicimad: Estación 128 (calle Cea Bermúdez, 59). Aparcamiento gratuito durante los fines de semana y festivos.
34;Museo de Arte Contemporáneo de Madrid;Centro;Centro;28015;CALLE CONDE DUQUE 9;40.42737760210632;-3.7106116887809817;&ampbull  El edificio está casi enteramente adaptado para facilitar la accesibilidad de los visitantes. &ampbull  Dispone de ascensores y aseos adaptados.Metro: Ventura Rodríguez, Plaza de España, San Bernardo, Noviciado. Bus: 1, 2, 21, 44, 74, 133, C, M2 Bicimad: Estación 13, Calle Conde Duque n&ampordm22. Parking:  Plaza de España
35;Museo de Artes y Tradiciones Populares. Centro Cultural La Corrala;Embajadores;Centro;28005;CALLE CARLOS ARNICHES 3;40.40882397197274;-3.708330456274069;Metro: La Latina (línea 5)Bus: 17, 18, 23, 35, 60.Bicimad: Estación 44 (calle Mesón de Paredes, 35).
36;Museo de Astronomía y Geodesia;CiudadUniversitaria;Moncloa-Aravaca;28040;PLAZA CIENCIAS 3;40.44942472705852;-3.7262214898219117;El museo de Astronomía y Geodesia, situado en una sala de la Facultad de Ciencias Matemáticas de la Universidad Complutense de Madrid, agrupa una importante colección de instrumentos de Astronomía, Geodesia y Topografía, reunidos con el afán didáctico de dar a conocer la evolución de los métodos utilizados en estas disciplinas durante los últimos 150 años.Bus: 132, F, 82, G, U.
37;Museo de Bomberos;Numancia;PuenteDeVallecas;28038;CALLE BOADA 4;40.39453171263195;-3.6539313207612207;Abierto al público en 1982, reúne todos los instrumentos usados por los bomberos durante más de cuatro siglos.    Acceso para minusválidos       Entrada gratuita    Apropiado para niños               Visita para grupos con cita previaMetro: L1- Buenos Aires Bus: 141 y 143
38;Museo de Calcografía Nacional;Sol;Centro;28014;CALLE ALCALA 13;40.41764548040709;-3.700667044636178;Reúne un extraordinario conjunto de planchas grabadas por los más significados artistas españoles, hasta conformar una de las mayores y mejores colecciones de matrices calcográficas del mundo. Su principal tesoro son las planchas de cobre grabadas al aguafuerte por Francisco de Goya, obras cumbres de la historia universal del grabado.Metro: Sol (líneas 1, 2, 3), Sevilla (línea 2)Bus: 5, 15, 20, 53, 150, M1, 3Cercanías: SolBicimad: Estación 28 (calle Alcalá, 27)
39;Museo de Cera;Justicia;Centro;28004;PASEO RECOLETOS 41;40.424403779665376;-3.6914362030084815;Se pueden realizar cuantas fotografías se deseen en el interior.Metro: Colón (línea 4)Bus: 14, 150, 27, 45, 5, 53, 21, 37Cercanías Renfe: Recoletos (líneas C1, C2, C7, C10)Bicimad: Estación 10 (Calle Marqués de la Ensenada, 16)
40;Museo de Escultura al Aire Libre de la Castellana;Castellana;Salamanca;28046;PASEO CASTELLANA 40;40.433219398671156;-3.6876122680805956;El Museo de Escultura al Aire Libre de La Castellana, está situado bajo el paso elevado que une las calles de Juan Bravo y Eduardo Dato, contiene una excelente colección de escultura abstracta española.Transporte público más próximo  Metro: Rubén Darío (línea 5) Bus: 5, 14, 27, 45, 150 BICIMAD: Estación 142 (Paseo de la Castellana n&ampordm42)
41;Museo de Historia de Madrid;Justicia;Centro;28004;CALLE FUENCARRAL 78;40.42577054821346;-3.700845660719608;Creado como Museo Municipal en 1929 y rebautizado como Museo de Historia de Madrid en 2007, tras una profunda remodelación, el año 2014 reabre sus puertas con un montaje moderno y una puesta al día de sus colecciones.Accesibilidad física: Rampa de acceso a la entrada.Ascensores.Aseos adaptados.Silla de ruedas.Metro: Tribunal, Bilbao y Alonso Martínez. Bus: 3, 21, 37, 40, 147 y 149. BICIMAD: Estación 54 (Calle Barceló 7) Aparcamiento público: Barceló.
42;Museo de Historia de la Comunidad Judía de Madrid;Trafalgar;Chamberi;28010;CALLE BALMES 3;40.43534317115623;-3.700013620203689;Metro: Iglesia (línea 1)Bus: 5, 16, 37, 61, 149, 3Bicimad: Estación 123 (calle General Álvarez de Castro, 2)
43;Museo de Mineralogía;ElGoloso;Fuencarral-ElPardo;28049;CARRETERA COLMENAR VIEJO KM.19000 Facultad de Ciencias (Departamento de Química Agrícola, Geología y Geoquímica: Módulo C-VI, planta 4).;null;null;Presenta colecciones de minerales clasificados por su composición química y vitrinas murales con ejemplares de exhibición procedentes de todo el mundo.Renfe: Cantoblanco Universidad
44;Museo de San Isidro. Los Orígenes de Madrid;Palacio;Centro;28005;PLAZA SAN ANDRES 1;40.41207900253883;-3.7108161027466378;Este espacio museográfico propone un viaje por la historia de la ciudad de Madrid desde la Prehistoria hasta el establecimiento de la Corte, a través de distintas salas como la de San Isidro, el Patio Renacentista, el Jardín Arqueobotánico o el Almacén Visitable.Metro: Latina , Tirso de Molina Bus: 3 , 17 , 18 , 23 , 35 , 60 , 65 , 148 BICIMAD: Estación 38 (Carrera de San Francisco 1)
45;Museo de Sanidad e Higiene Pública;LaPaz;Fuencarral-ElPardo;28029;AVENIDA MONFORTE DE LEMOS 5;40.47546597881768;-3.6900603941123107;Con sede en el Instituto de Salud Carlos III, ocupa las antiguas dependencias del Laboratorio de Microbiología del Hospital del Rey. 300 m2 conservados tal cual su antiguo uso, con fondos de mobiliario, instrumental y bibliografía de los antiguos hospitales para enfermos infecciosos del complejo. Se resaltan hitos históricos relevantes en salud pública mediante láminas enmarcadas.Metro: Chamartín (líneas 1, 10), Plaza de Castilla (1, 9, 10)Bus: 134, 137Renfe: Chamartín
46;Museo de la Biblioteca Nacional de España;Recoletos;Salamanca;28001;PASEO RECOLETOS 20 y 22;40.423001908945956;-3.69084423390357;El Museo de la Biblioteca Nacional de España, antiguo Museo del Libro, es responsable de la oferta educativa, formativa, cultural y de ocio de la institución y divulga las colecciones, funcionamiento e historia de la Biblioteca para todos los públicos.Metro: Colón, (línea 4), Retiro (Línea 2)Bus: 5, 14, 27, 45, 53, 150, 37, 21, 1, 9, 19, 51, 74Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8  y C10)Bicimad: Estación 94 (Paseo Recoletos, 32-34)
47;Museo de la Catedral de la Almudena;Palacio;Centro;28013;CALLE BAILEN 10 Entrada por un costado de la entrada principal de la catedral;40.415538770017406;-3.7136931154460564;Bus: 3.Metro: Ópera (Líneas 2, 5 y Ramal Ópera Príncipe Pío).Bicimad: Estación 36 (plaza Ramales, 1).
48;Museo de la Farmacia Hispana;CiudadUniversitaria;Moncloa-Aravaca;28040;PLAZA RAMON Y CAJAL Facultad de Farmacia;40.4445328804645;-3.7262160043788155;Metro: Ciudad Universitaria (línea 6)Bus: 82, 132 , F, G, U
49;Museo de la Guardia Civil;Vallehermoso;Chamberi;28003;CALLE GUZMAN EL BUENO 110;40.44438523242585;-3.712300118990835;Metro: Guzmán el Bueno (líneas 6, 7)Bus: 2, 44
50;Museo de la Real Academia de Bellas Artes de San Fernando;Sol;Centro;28014;CALLE ALCALA 13;40.41765456031193;-3.7006553517170633;Construido inicialmente para palacio de Don Juan de Goyeneche, el edificio fue adquirido por la Academia de Bellas Artes en 1773 y reformado bajo la dirección de Fernando Chueca Goitia en 1973 y la fachada por Diego de Villanueva en 1774.Visitas guiadas (no grupos): 25 personas máximo.Martes, jueves y viernes no festivos a las 11 horas, excepto Navidad, Semana Santa y agosto. Visitas para grupos (8 a 14 personas) a otras instalaciones diferentes del Museo: jueves no festivos a las 11:30 horas.Gratuitas y guiadas a los centros escolares y asociaciones a cargo de voluntarios culturales del Museo. Previa solicitud: Visitas de grupo: museo.visitas@rabasf.org Visitas privadas a museo cerrado:  actos.culturales@rabasf.org  Cumplimentando formulario de petición de reservas en la webMetro: Sol (líneas 1, 2, 3), Sevilla (línea 2)Bus: 3, 15, 20, 53, 150, M1, 3Renfe Cercanías: SolBicimad: Estación 28 (calle Alcalá, 27)
51;Museo del Ferrocarril de Madrid;Delicias;Arganzuela;28045;PASEO DELICIAS 61;40.400281290485566;-3.693817192160563;Edificio de carácter monumental. Construido como cabecera de la línea Madrid - Extremadura - Portugal en el año 1880 por E. Cachelievre.Metro: Delicias (línea 3).Bus: 19, 247, 45, 47, 59, 85, 86, 8, 55, 6.Cercanías Renfe: Delicias (líneas C1, C7, C10 y Regional).Bicimad: Estación 172 (Bustamante, 1).
52;Museo del Prado;LosJeronimos;Retiro;28014;CALLE RUIZ DE ALARCON 23;40.41358458131178;-3.691325445518223;Construido inicialmente como Museo de Ciencias Naturales, este edificio neoclásico fue transformado en pinacoteca de las Colecciones Reales en 1818 con colecciones de pintura, dibujos, grabados, monedas y medallas desde el Románico hasta el siglo XIX.Arquitecto: Juan de Villanueva (1785 - 1808) Adecuación: Antonio López Aguado (1818 - 1831) Ampliación: Rafael Moneo (2000 - 2007)Metro: Estación del Arte (Atocha) (línea 1), Banco de España (línea 2), Retiro (línea 2)Bus: 10, 14, 27, 34, 37, 45Renfe: AtochaBicimad: Estación 68 (calle Espalter, 1)
53;Museo del Reloj Grassy;Cortes;Centro;28013;CALLE GRAN VIA 1;40.41914770731552;-3.69806583195521;Arquitecto: Eladio Laredo Carranza (1916 - 1917).Fundado por el relojero francés Grassy en 1955, este museo narra la historia de este aparato de medición. Sus fondos, colección privada, consta de una amplia y variada colección de diferentes nacionalidades y los más variados estilos.Metro: Banco de España (línea 2), Gran Vía (Líneas 1 y 5).Bus: 52, 9, 1, 146, 2, 46, 74, M2, 15, 150, 20, 5, 51, 53, 3.Bicimad: Estación 28 (calle Alcalá, 27).
54;Museo del Romanticismo;Justicia;Centro;28004;CALLE SAN MATEO 13;40.42585510296794;-3.6987835425963063;Descripción monumental Construido para casa palacio del Marqués de Matallana por el arquitecto Manuel Rodríguez, dentro de unas líneas clasicistas, tiene algunas leves reminiscencias del barroco, como las molduras en forma de orejeras en los balcones. Las estancias nobles se organizan en torno a dos patios cuadrados. Conserva un interesante jardín romántico. A finales del siglo XVIII el inmueble pasó a estar habitado por los Condes de la Puebla del Maestre y después, desde junio de 1921, fue sede de la Comisaría Regia de Turismo, organismo creado por el II Marqués de la Vega-Inclán. En 1924 se convirtió en Museo Romántico y desde entonces ha sido restaurado e intervenido en diversas ocasiones con motivo de su funcionamiento como museo.  Desde 2001 a 2009 el Museo fue reformado y puesto a punto, en aplicación de un plan museológico consistente en su renovación, ampliando su ámbito temático desde lo meramente literario hasta lo histórico, político, artístico y decorativo, para dar una visión de conjunto de esta etapa de la vida española.Muestra la ambientación de una casa romántica. Posee obras de los pintores más importantes del siglo XIX (Goya, Madrazo y otros) junto a esculturas, muebles, porcelanas, abanicos y todo tipo de complementos decorativos que nos recuerdan la forma de vida de una familia burguesa del siglo XIX.Metro: Tribunal (líneas 1, 10), Alonso Martínez (líneas 4, 5, 10)Bus: 37, 149, 42, 3Renfe: RecoletosBicimad:Estación 7 (calle Hortaleza, 75)Estación 54 (calle Barceló, 7)
55;Museo del Seguro. Fundación Mapfre;Justicia;Centro;28004;CALLE BARBARA DE BRAGANZA 14;40.42326356132727;-3.6922850587679505;Ubicado en el edificio de Fundación MAPFRE exhibe una amplia colección de piezas relacionadas con la historia de la actividad aseguradora desde el siglo XVIII hasta nuestros días. Ofrece visitas guiadas y gratuitas para grupos.Metro: Colón (línea 4)Bus: 37, 14, 150, 27, 45, 5, 53Renfe: Recoletos (Líneas C1, C2, C7, C8, C10)Bicimad: Estación 94 (paseo Recoletos, 32-34)
